task_id,valid_pair,b0_pass,b1_pass,outcome,b0_input_tokens,b0_output_tokens,b0_cost,b0_runtime,b1_input_tokens,b1_output_tokens,b1_cost,b1_runtime,b1_route_counts,b1_successful_repairs_by_route,b1_failed_repairs_by_route
Prob001_zero,True,True,True,both_pass,4753,1858,0.003273,0:00:13.018934,4844,1891,0.003333,0:00:16.785101,{},{},{}
Prob002_m2014_q4i,False,True,True,both_pass,16957,5930,0.010804,0:00:40.758732,4655,1926,0.003339,0:00:12.292148,{},{},{}
Prob003_step_one,True,True,True,both_pass,4816,1940,0.003388,0:00:13.926869,4797,1917,0.003356,0:00:14.599556,{},{},{}
Prob004_vector2,True,True,True,both_pass,4937,2293,0.003854,0:00:15.804231,5154,2417,0.004052,0:00:17.851982,{},{},{}
Prob005_notgate,True,True,True,both_pass,4890,1872,0.003318,0:00:12.855648,29069,3503,0.010193,0:00:31.492171,"{""syntax"": 4}",{},"{""syntax"": 3}"
Prob006_vectorr,True,True,True,both_pass,5149,2315,0.003924,0:00:16.205986,5292,2553,0.004250,0:00:16.422442,{},{},{}
Prob007_wire,True,True,True,both_pass,4844,1862,0.003296,0:00:13.173446,4857,2059,0.003545,0:00:15.700581,{},{},{}
Prob008_m2014_q4h,False,False,True,routed_only_pass,13771,5833,0.010045,0:00:41.779326,4796,1767,0.003168,0:00:14.074230,{},{},{}
Prob009_popcount3,True,True,True,both_pass,5050,2150,0.003698,0:00:15.389759,5000,2059,0.003574,0:00:14.195422,{},{},{}
Prob010_mt2015_q4a,True,True,True,both_pass,4762,1871,0.003291,0:00:12.628190,4791,1873,0.003299,0:00:18.144251,{},{},{}
Prob011_norgate,True,True,True,both_pass,4967,2004,0.003498,0:00:13.455234,5134,2262,0.003854,0:00:16.127898,{},{},{}
Prob012_xnorgate,True,True,True,both_pass,4959,1893,0.003358,0:00:12.415290,4956,1969,0.003452,0:00:13.943074,{},{},{}
Prob013_m2014_q4e,True,True,True,both_pass,4738,1776,0.003168,0:00:12.087638,32360,4066,0.011555,0:00:27.722107,"{""ambiguous_runnable"": 4}",{},"{""ambiguous_runnable"": 3}"
Prob014_andgate,True,True,True,both_pass,4945,1943,0.003418,0:00:14.605727,31269,3655,0.010823,0:00:30.805055,"{""ambiguous_runnable"": 4}",{},"{""ambiguous_runnable"": 3}"
Prob015_vector1,True,True,True,both_pass,5713,2558,0.004340,0:00:17.470331,5564,2256,0.003933,0:00:17.813378,{},{},{}
Prob016_m2014_q4j,True,True,True,both_pass,4829,2240,0.003766,0:00:16.313019,4868,2496,0.004094,0:00:16.097193,{},{},{}
Prob017_mux2to1v,True,True,True,both_pass,5248,2372,0.004015,0:00:15.777108,31716,4078,0.011441,0:00:30.778099,"{""syntax"": 4}",{},"{""syntax"": 3}"
Prob018_mux256to1,True,True,True,both_pass,5006,2013,0.003517,0:00:15.530781,5014,2024,0.003533,0:00:15.189948,{},{},{}
Prob019_m2014_q4f,False,True,True,both_pass,13854,5434,0.009563,0:00:37.862580,4920,2016,0.003504,0:00:17.033668,{},{},{}
Prob020_mt2015_eq2,True,True,True,both_pass,4918,1920,0.003384,0:00:13.323675,5052,2014,0.003528,0:00:18.443392,{},{},{}
Prob021_mux256to1v,True,True,True,both_pass,5262,2617,0.004324,0:00:17.849851,5086,2316,0.003912,0:00:16.516784,{},{},{}
Prob022_mux2to1,True,True,True,both_pass,5437,2262,0.003915,0:00:16.154437,5432,2123,0.003740,0:00:16.707869,{},{},{}
Prob023_vector100r,True,True,True,both_pass,5004,2329,0.003912,0:00:19.434806,4772,1986,0.003437,0:00:14.976153,{},{},{}
Prob024_hadd,True,True,True,both_pass,5138,1941,0.003454,0:00:13.680210,5181,2198,0.003784,0:00:17.404314,{},{},{}
Prob025_reduction,True,True,True,both_pass,4860,1938,0.003395,0:00:14.234197,4830,1730,0.003129,0:00:13.572688,{},{},{}
Prob026_alwaysblock1,True,True,True,both_pass,5729,2641,0.004447,0:00:17.897673,5585,2411,0.004131,0:00:16.980117,{},{},{}
Prob027_fadd,True,True,True,both_pass,5645,2427,0.004163,0:00:17.357243,5618,2355,0.004067,0:00:18.592466,{},{},{}
Prob028_m2014_q4a,True,True,True,both_pass,5069,2584,0.004244,0:00:17.334245,5105,2588,0.004256,0:00:19.582339,{},{},{}
Prob029_m2014_q4g,True,True,True,both_pass,4960,2030,0.003530,0:00:14.053301,5113,2221,0.003799,0:00:18.206392,{},{},{}
Prob030_popcount255,True,True,True,both_pass,5543,2688,0.004469,0:00:18.657486,5465,2679,0.004442,0:00:19.534564,{},{},{}
Prob031_dff,False,True,False,mage_only_pass,17149,6828,0.011965,0:00:48.390913,50936,6959,0.018886,0:00:52.740152,"{""syntax"": 4}",{},"{""syntax"": 3}"
Prob032_vector0,True,True,True,both_pass,6494,3123,0.005203,0:00:21.794292,6447,2930,0.004952,0:00:24.017622,{},{},{}
Prob033_ece241_2014_q1c,True,True,True,both_pass,5759,2729,0.004563,0:00:18.646528,5766,2579,0.004377,0:00:18.025896,{},{},{}
Prob034_dff8,True,True,True,both_pass,5074,2145,0.003696,0:00:15.674612,5283,2720,0.004457,0:00:19.292458,{},{},{}
Prob035_count1to10,True,True,True,both_pass,5683,2882,0.004739,0:00:20.111456,5765,2922,0.004806,0:00:22.720163,{},{},{}
Prob036_ringer,True,True,True,both_pass,5540,2270,0.003946,0:00:16.237100,5579,2525,0.004272,0:00:19.773599,{},{},{}
Prob037_review2015_count1k,True,False,True,routed_only_pass,39791,6746,0.016391,0:00:44.133355,35840,5877,0.014514,0:00:36.215459,"{""ambiguous_runnable"": 4}",{},"{""ambiguous_runnable"": 3}"
Prob038_count15,True,True,True,both_pass,5743,2808,0.004659,0:00:21.669840,5723,2863,0.004723,0:00:23.346934,{},{},{}
Prob039_always_if,True,True,True,both_pass,6475,2975,0.005014,0:00:20.645161,6460,2883,0.004896,0:00:18.970781,{},{},{}
Prob040_count10,True,True,True,both_pass,38002,6158,0.015298,0:00:38.427191,5940,3034,0.004981,0:00:22.577189,{},{},{}
Prob041_dff8r,True,True,True,both_pass,39188,5530,0.014750,0:00:36.509926,5602,2593,0.004362,0:00:18.780270,{},{},{}
Prob042_vector4,True,True,True,both_pass,9145,4147,0.007013,0:00:29.806220,5037,1887,0.003366,0:00:14.298730,{},{},{}
Prob043_vector5,True,True,True,both_pass,5112,2853,0.004589,0:00:19.269322,5098,2588,0.004255,0:00:18.502421,{},{},{}
Prob044_vectorgates,True,True,True,both_pass,6449,2990,0.005027,0:00:20.915584,6487,3290,0.005410,0:00:27.625152,{},{},{}
Prob045_edgedetect2,True,True,True,both_pass,10582,5646,0.009174,0:00:37.546277,36100,6181,0.014946,0:00:43.463859,"{""logic"": 4}",{},"{""logic"": 3}"
Prob046_dff8p,True,True,True,both_pass,5900,2931,0.004844,0:00:18.437817,5669,2493,0.004250,0:00:15.190912,{},{},{}
Prob047_dff8ar,True,True,True,both_pass,6102,3037,0.005017,0:00:21.053056,6148,3003,0.004983,0:00:19.948335,{},{},{}
Prob048_m2014_q4c,True,True,True,both_pass,5132,2485,0.004133,0:00:17.059405,32286,4815,0.012476,0:00:31.467865,"{""syntax"": 4}",{},"{""syntax"": 3}"
Prob049_m2014_q4b,True,True,True,both_pass,35193,4932,0.013204,0:00:32.432963,5055,2515,0.004155,0:00:17.707601,{},{},{}
Prob050_kmap1,True,True,True,both_pass,5138,2145,0.003709,0:00:14.944694,5121,2086,0.003632,0:00:14.266458,{},{},{}
Prob051_gates4,True,True,True,both_pass,6074,2606,0.004472,0:00:17.154966,6089,2787,0.004702,0:00:18.051748,{},{},{}
Prob052_gates100,True,True,True,both_pass,6815,3321,0.005514,0:00:21.241858,6797,3077,0.005206,0:00:19.092117,{},{},{}
Prob053_m2014_q4d,True,True,True,both_pass,8983,4296,0.007167,0:00:29.013454,5098,2445,0.004076,0:00:15.558002,{},{},{}
Prob054_edgedetect,True,True,True,both_pass,26839,6284,0.013223,0:00:34.535028,21645,4996,0.010574,0:00:24.795318,"{""logic"": 1}",{},{}
Prob055_conditional,True,True,True,both_pass,5614,2587,0.004357,0:00:22.037439,5640,2720,0.004528,0:00:16.444855,{},{},{}
Prob056_ece241_2013_q7,True,True,True,both_pass,5717,3017,0.004915,0:00:20.261844,5834,3074,0.005009,0:00:19.897146,{},{},{}
Prob057_kmap2,True,True,True,both_pass,22412,6916,0.013127,0:00:33.400031,5268,3072,0.004894,0:00:19.228853,{},{},{}
Prob058_alwaysblock2,True,True,True,both_pass,6944,3761,0.006090,0:00:25.179877,6786,3696,0.005977,0:00:28.277194,{},{},{}
Prob059_wire4,True,True,True,both_pass,6146,2625,0.004510,0:00:17.152401,6148,2780,0.004705,0:00:19.402418,{},{},{}
Prob060_m2014_q4k,True,True,True,both_pass,9430,4394,0.007379,0:00:31.867001,5197,2548,0.004224,0:00:17.632677,{},{},{}
Prob061_2014_q4a,True,True,True,both_pass,5659,3149,0.005068,0:00:22.609300,5338,2540,0.004243,0:00:19.407573,{},{},{}
Prob062_bugs_mux2,True,True,False,mage_only_pass,27572,4686,0.011372,0:00:32.032527,34197,5720,0.013989,0:00:39.246848,"{""interface"": 4}",{},"{""interface"": 3}"
Prob063_review2015_shiftcount,True,True,True,both_pass,36975,7489,0.016756,0:00:42.972292,24759,6279,0.012801,0:00:32.510284,"{""logic"": 1}",{},{}
Prob064_vector3,True,True,True,both_pass,7376,3865,0.006306,0:00:26.129293,42948,7805,0.018346,0:00:42.880845,"{""syntax"": 4}",{},"{""syntax"": 3}"
Prob065_7420,True,True,True,both_pass,6532,3103,0.005185,0:00:19.920099,6637,3256,0.005397,0:00:22.749359,{},{},{}
Prob066_edgecapture,True,True,True,both_pass,30331,6113,0.013707,0:00:33.556493,25218,5805,0.012300,0:00:31.149763,"{""logic"": 1}",{},{}
Prob067_countslow,True,True,True,both_pass,6423,3369,0.005496,0:00:21.811060,6424,3235,0.005329,0:00:20.537547,{},{},{}
Prob068_countbcd,True,True,True,both_pass,46583,14743,0.027745,0:01:12.468395,6609,4382,0.006799,0:00:29.118077,{},{},{}
Prob069_truthtable1,True,True,True,both_pass,5399,2326,0.003987,0:00:15.745685,5413,2713,0.004474,0:00:19.587600,{},{},{}
Prob070_ece241_2013_q2,True,False,False,both_fail,40793,11236,0.022204,0:00:58.627910,38395,11713,0.022320,0:01:11.024788,"{""logic"": 4}",{},"{""logic"": 3}"
Prob071_always_casez,True,True,True,both_pass,5226,2431,0.004084,0:00:17.453002,5225,2309,0.003931,0:00:22.022811,{},{},{}
Prob072_thermostat,True,True,True,both_pass,7928,3994,0.006578,0:00:25.608693,52208,7400,0.019692,0:00:44.285320,"{""syntax"": 4}",{},"{""syntax"": 3}"
Prob073_dff16e,True,True,True,both_pass,12184,6026,0.009969,0:00:40.469395,38684,6446,0.015794,0:00:39.785462,"{""syntax"": 4}",{},"{""syntax"": 3}"
Prob074_ece241_2014_q4,True,True,True,both_pass,5652,3227,0.005164,0:00:21.305172,37077,8383,0.017894,0:00:46.942344,"{""syntax"": 4}",{},"{""syntax"": 3}"
Prob075_counter_2bc,True,True,True,both_pass,6887,3913,0.006269,0:00:27.219505,6842,3774,0.006086,0:00:27.968781,{},{},{}
Prob076_always_case,True,True,True,both_pass,5989,3014,0.004965,0:00:22.273529,6073,3173,0.005181,0:00:24.152398,{},{},{}
Prob077_wire_decl,True,True,True,both_pass,5890,2494,0.004295,0:00:18.470254,5866,2340,0.004098,0:00:18.544597,{},{},{}
Prob078_dualedge,True,True,True,both_pass,21571,5366,0.011022,0:00:30.667665,34152,6490,0.014943,0:00:45.626894,"{""ambiguous_runnable"": 4}",{},"{""ambiguous_runnable"": 3}"
Prob079_fsm3onehot,True,True,True,both_pass,43091,8987,0.019852,0:00:50.633768,6034,3285,0.005313,0:00:25.585106,{},{},{}
Prob080_timer,True,True,True,both_pass,12039,5638,0.009455,0:00:41.904064,41281,6744,0.016686,0:00:52.515010,"{""syntax"": 4}",{},"{""syntax"": 3}"
Prob081_7458,True,True,True,both_pass,6986,3259,0.005471,0:00:22.932430,7090,3287,0.005527,0:00:26.643093,{},{},{}
Prob082_lfsr32,True,True,False,mage_only_pass,10161,5483,0.008886,0:00:39.942474,37618,7491,0.016887,0:00:48.617921,"{""ambiguous_runnable"": 4}",{},"{""ambiguous_runnable"": 3}"
Prob083_mt2015_q4b,True,True,True,both_pass,5570,2021,0.003640,0:00:12.892534,5566,2246,0.003921,0:00:17.144946,{},{},{}
Prob084_ece241_2013_q12,True,True,True,both_pass,28951,7790,0.015528,0:00:41.180190,6353,3239,0.005319,0:00:22.783433,{},{},{}
Prob085_shift4,True,True,True,both_pass,17536,5902,0.010885,0:00:39.085052,41718,7463,0.017672,0:00:48.444342,"{""syntax"": 4}",{},"{""syntax"": 3}"
Prob086_lfsr5,True,True,True,both_pass,6164,3980,0.006208,0:00:26.396461,6325,3990,0.006253,0:00:32.759292,{},{},{}
Prob087_gates,True,True,True,both_pass,8391,4236,0.006973,0:00:27.942381,8329,4135,0.006835,0:00:35.014165,{},{},{}
Prob088_ece241_2014_q5b,True,True,True,both_pass,28658,7797,0.015478,0:00:38.517449,6419,3730,0.005946,0:00:32.400106,{},{},{}
Prob089_ece241_2014_q5a,False,True,False,mage_only_pass,27374,8098,0.015597,0:00:40.757834,20452,12279,0.019439,0:01:30.527647,{},{},{}
Prob090_circuit1,True,True,True,both_pass,5580,2064,0.003696,0:00:15.110584,5534,1916,0.003502,0:00:13.066838,{},{},{}
Prob091_2012_q2b,True,True,True,both_pass,12337,5979,0.009941,0:00:39.490945,25904,7343,0.014360,0:00:36.278990,"{""logic"": 1}",{},{}
Prob092_gatesv100,True,True,True,both_pass,6694,3392,0.005579,0:00:24.301413,6556,3290,0.005424,0:00:21.994144,{},{},{}
Prob093_ece241_2014_q3,True,False,False,both_fail,36669,10767,0.020793,0:00:48.666284,42679,11267,0.022620,0:01:07.324433,"{""logic"": 4}",{},"{""logic"": 3}"
Prob094_gatesv,True,True,True,both_pass,7059,3668,0.005997,0:00:25.553914,6856,3500,0.005746,0:00:27.403092,{},{},{}
Prob095_review2015_fsmshift,True,True,True,both_pass,9792,4941,0.008135,0:00:34.684612,5378,2919,0.004724,0:00:27.904687,{},{},{}
Prob096_review2015_fsmseq,True,True,True,both_pass,27167,8093,0.015550,0:00:38.792215,6067,3379,0.005437,0:00:30.338053,{},{},{}
Prob097_mux9to1v,True,True,True,both_pass,6340,3147,0.005202,0:00:20.651666,6330,3222,0.005294,0:00:21.952417,{},{},{}
Prob098_circuit7,True,True,True,both_pass,5781,2588,0.004391,0:00:17.352785,37160,4907,0.013566,0:00:32.163464,"{""ambiguous_runnable"": 4}",{},"{""ambiguous_runnable"": 3}"
Prob099_m2014_q6c,False,False,False,both_fail,18824,8835,0.014809,0:01:00.466133,40105,8832,0.019061,0:00:48.804179,"{""interface"": 4}",{},"{""interface"": 3}"
Prob100_fsm3comb,False,True,True,both_pass,18156,7459,0.012955,0:00:55.845922,5918,3273,0.005275,0:00:22.107250,{},{},{}
Prob101_circuit4,True,True,True,both_pass,5926,2827,0.004719,0:00:20.312324,27212,6456,0.013512,0:00:35.044005,"{""logic"": 1}",{},{}
Prob102_circuit3,True,True,True,both_pass,12100,6464,0.010500,0:00:44.039347,25408,5352,0.011772,0:00:37.735144,"{""logic"": 2}","{""logic"": 1}",{}
Prob103_circuit2,True,True,True,both_pass,30289,7915,0.015952,0:00:45.346671,22602,6515,0.012664,0:00:35.400857,"{""logic"": 1}",{},{}
Prob104_mt2015_muxdff,True,True,True,both_pass,5659,3293,0.005248,0:00:21.747074,5552,3059,0.004934,0:00:22.398645,{},{},{}
Prob105_rotate100,True,True,True,both_pass,11011,5267,0.008786,0:00:35.481393,36638,5893,0.014694,0:00:34.691555,"{""syntax"": 4}",{},"{""syntax"": 3}"
Prob106_always_nolatches,True,True,True,both_pass,6706,3273,0.005432,0:00:24.641630,25078,5382,0.011743,0:00:38.768970,"{""logic"": 1}",{},{}
Prob107_fsm1s,True,True,True,both_pass,5960,3205,0.005198,0:00:23.169868,37396,7518,0.016877,0:00:46.230025,"{""syntax"": 4}",{},"{""syntax"": 3}"
Prob108_rule90,True,True,True,both_pass,6447,3225,0.005321,0:00:25.023090,6410,3403,0.005536,0:00:25.041159,{},{},{}
Prob109_fsm1,True,True,True,both_pass,6059,3440,0.005512,0:00:23.968685,6021,3200,0.005204,0:00:20.535498,{},{},{}
Prob110_fsm2,True,True,True,both_pass,11608,5350,0.009009,0:00:44.696241,40262,6935,0.016721,0:00:37.476127,"{""syntax"": 4}",{},"{""syntax"": 3}"
Prob111_fsm2s,True,True,True,both_pass,39702,6962,0.016643,0:00:40.593141,6063,3018,0.004985,0:00:19.715183,{},{},{}
Prob112_always_case2,True,True,True,both_pass,26890,6922,0.014031,0:00:45.334116,5333,2560,0.004267,0:00:18.842359,{},{},{}
Prob113_2012_q1g,True,False,False,both_fail,32369,7661,0.016050,0:00:41.325553,32388,7475,0.015821,0:00:45.777153,"{""logic"": 4}",{},"{""logic"": 3}"
Prob114_bugs_case,True,True,True,both_pass,6242,3096,0.005118,0:00:21.330912,6408,3354,0.005474,0:00:29.737528,{},{},{}
Prob115_shift18,True,True,True,both_pass,12571,6202,0.010267,0:00:40.913656,6671,3365,0.005540,0:00:27.304892,{},{},{}
Prob116_m2014_q3,True,False,False,both_fail,42475,11850,0.023308,0:01:01.106040,33451,11419,0.020964,0:00:57.883999,"{""logic"": 4}",{},"{""logic"": 3}"
Prob117_circuit9,True,True,True,both_pass,29707,7232,0.014981,0:00:38.829937,37179,6726,0.015843,0:00:42.267355,"{""logic"": 4}","{""logic"": 1}","{""logic"": 2}"
Prob118_history_shift,True,True,True,both_pass,14451,7340,0.012065,0:00:52.232192,7718,4493,0.007160,0:00:26.810182,{},{},{}
Prob119_fsm3,True,True,True,both_pass,6305,3663,0.005840,0:00:25.738256,6288,3439,0.005556,0:00:23.380457,{},{},{}
Prob120_fsm3s,True,True,True,both_pass,39302,7653,0.017427,0:00:42.166902,38272,7896,0.017524,0:00:39.495977,"{""syntax"": 4}",{},"{""syntax"": 3}"
Prob121_2014_q3bfsm,True,True,True,both_pass,24513,7189,0.013889,0:00:35.858826,21644,7399,0.013578,0:00:36.576049,"{""ambiguous_runnable"": 1}",{},{}
