task_id,valid_pair,b0_pass,b1_pass,outcome,b0_input_tokens,b0_output_tokens,b0_cost,b0_runtime,b1_input_tokens,b1_output_tokens,b1_cost,b1_runtime,b1_route_counts,b1_successful_repairs_by_route,b1_failed_repairs_by_route
Prob001_zero,True,True,True,both_pass,4753,1858,0.003273,0:00:13.018934,4739,1916,0.003343,0:00:13.081375,{},{},{}
Prob002_m2014_q4i,False,True,True,both_pass,16957,5930,0.010804,0:00:40.758732,4591,1895,0.003287,0:00:12.628999,{},{},{}
Prob003_step_one,True,True,True,both_pass,4816,1940,0.003388,0:00:13.926869,4853,2037,0.003517,0:00:14.182060,{},{},{}
Prob004_vector2,True,True,True,both_pass,4937,2293,0.003854,0:00:15.804231,4897,2064,0.003559,0:00:17.104927,{},{},{}
Prob005_notgate,True,True,True,both_pass,4890,1872,0.003318,0:00:12.855648,4928,1943,0.003414,0:00:14.010072,{},{},{}
Prob006_vectorr,True,True,True,both_pass,5149,2315,0.003924,0:00:16.205986,5171,2421,0.004060,0:00:16.222587,{},{},{}
Prob007_wire,True,True,True,both_pass,4844,1862,0.003296,0:00:13.173446,4944,1862,0.003316,0:00:12.827723,{},{},{}
Prob008_m2014_q4h,False,False,True,routed_only_pass,13771,5833,0.010045,0:00:41.779326,4734,1810,0.003209,0:00:12.515328,{},{},{}
Prob009_popcount3,True,True,True,both_pass,5050,2150,0.003698,0:00:15.389759,32680,5130,0.012949,0:00:32.737406,"{""syntax"": 4}",{},"{""syntax"": 3}"
Prob010_mt2015_q4a,True,True,True,both_pass,4762,1871,0.003291,0:00:12.628190,4712,1708,0.003077,0:00:12.189816,{},{},{}
Prob011_norgate,True,True,True,both_pass,4967,2004,0.003498,0:00:13.455234,4948,2075,0.003583,0:00:14.254271,{},{},{}
Prob012_xnorgate,True,True,True,both_pass,4959,1893,0.003358,0:00:12.415290,4996,2096,0.003619,0:00:14.532158,{},{},{}
Prob013_m2014_q4e,True,True,True,both_pass,4738,1776,0.003168,0:00:12.087638,30128,4180,0.011251,0:00:29.221341,"{""syntax"": 4}",{},"{""syntax"": 3}"
Prob014_andgate,True,True,True,both_pass,4945,1943,0.003418,0:00:14.605727,4990,2008,0.003508,0:00:13.408132,{},{},{}
Prob015_vector1,True,True,True,both_pass,5713,2558,0.004340,0:00:17.470331,5557,2357,0.004058,0:00:16.344813,{},{},{}
Prob016_m2014_q4j,True,True,True,both_pass,4829,2240,0.003766,0:00:16.313019,4874,2296,0.003845,0:00:15.959392,{},{},{}
Prob017_mux2to1v,True,True,True,both_pass,5248,2372,0.004015,0:00:15.777108,5184,2128,0.003697,0:00:14.476639,{},{},{}
Prob018_mux256to1,True,True,True,both_pass,5006,2013,0.003517,0:00:15.530781,5016,2127,0.003662,0:00:17.217701,{},{},{}
Prob019_m2014_q4f,False,True,True,both_pass,13854,5434,0.009563,0:00:37.862580,4841,1898,0.003341,0:00:13.952753,{},{},{}
Prob020_mt2015_eq2,True,True,True,both_pass,4918,1920,0.003384,0:00:13.323675,5214,2432,0.004083,0:00:17.393621,{},{},{}
Prob021_mux256to1v,False,True,True,both_pass,5262,2617,0.004324,0:00:17.849851,29266,9468,0.017688,0:00:59.049413,"{""ambiguous_runnable"": 2}",{},"{""ambiguous_runnable"": 1}"
Prob022_mux2to1,True,True,True,both_pass,5437,2262,0.003915,0:00:16.154437,5551,2326,0.004018,0:00:17.123539,{},{},{}
Prob023_vector100r,True,True,True,both_pass,5004,2329,0.003912,0:00:19.434806,4728,1942,0.003373,0:00:14.850783,{},{},{}
Prob024_hadd,True,True,True,both_pass,5138,1941,0.003454,0:00:13.680210,30980,3719,0.010845,0:00:25.271561,"{""syntax"": 3}",{},"{""syntax"": 2}"
Prob025_reduction,True,True,True,both_pass,4860,1938,0.003395,0:00:14.234197,4856,1775,0.003190,0:00:12.015039,{},{},{}
Prob026_alwaysblock1,True,True,True,both_pass,5729,2641,0.004447,0:00:17.897673,5758,2668,0.004487,0:00:17.285527,{},{},{}
Prob027_fadd,True,True,True,both_pass,5645,2427,0.004163,0:00:17.357243,5675,2492,0.004250,0:00:19.087799,{},{},{}
Prob028_m2014_q4a,True,True,False,mage_only_pass,5069,2584,0.004244,0:00:17.334245,23400,4462,0.010258,0:00:23.659367,"{""ambiguous_runnable"": 2}","{""ambiguous_runnable"": 1}",{}
Prob029_m2014_q4g,True,True,True,both_pass,4960,2030,0.003530,0:00:14.053301,4962,2058,0.003565,0:00:13.047211,{},{},{}
Prob030_popcount255,True,True,True,both_pass,5543,2688,0.004469,0:00:18.657486,5481,2466,0.004179,0:00:17.714893,{},{},{}
Prob031_dff,False,True,True,both_pass,17149,6828,0.011965,0:00:48.390913,5251,2408,0.004060,0:00:17.623749,{},{},{}
Prob032_vector0,True,True,True,both_pass,6494,3123,0.005203,0:00:21.794292,6420,2992,0.005024,0:00:20.901763,{},{},{}
Prob033_ece241_2014_q1c,True,True,True,both_pass,5759,2729,0.004563,0:00:18.646528,5858,2692,0.004537,0:00:18.930621,{},{},{}
Prob034_dff8,True,True,True,both_pass,5074,2145,0.003696,0:00:15.674612,20953,4363,0.009644,0:00:25.307385,"{""logic"": 1}",{},{}
Prob035_count1to10,True,True,True,both_pass,5683,2882,0.004739,0:00:20.111456,5753,2843,0.004704,0:00:18.756193,{},{},{}
Prob036_ringer,True,True,True,both_pass,5540,2270,0.003946,0:00:16.237100,5588,2498,0.004240,0:00:16.695549,{},{},{}
Prob037_review2015_count1k,True,False,True,routed_only_pass,39791,6746,0.016391,0:00:44.133355,5887,2959,0.004876,0:00:21.234589,{},{},{}
Prob038_count15,True,True,True,both_pass,5743,2808,0.004659,0:00:21.669840,5740,2728,0.004558,0:00:21.164043,{},{},{}
Prob039_always_if,True,True,True,both_pass,6475,2975,0.005014,0:00:20.645161,6463,2894,0.004910,0:00:19.297145,{},{},{}
Prob040_count10,True,True,True,both_pass,38002,6158,0.015298,0:00:38.427191,5781,2939,0.004830,0:00:22.332186,{},{},{}
Prob041_dff8r,True,True,True,both_pass,39188,5530,0.014750,0:00:36.509926,34148,5591,0.013818,0:00:37.369576,"{""ambiguous_runnable"": 3}",{},"{""ambiguous_runnable"": 2}"
Prob042_vector4,True,True,True,both_pass,9145,4147,0.007013,0:00:29.806220,5055,1866,0.003344,0:00:13.106504,{},{},{}
Prob043_vector5,True,True,True,both_pass,5112,2853,0.004589,0:00:19.269322,5111,2555,0.004216,0:00:17.949518,{},{},{}
Prob044_vectorgates,True,True,True,both_pass,6449,2990,0.005027,0:00:20.915584,6531,3260,0.005381,0:00:21.883348,{},{},{}
Prob045_edgedetect2,True,True,True,both_pass,10582,5646,0.009174,0:00:37.546277,22321,5127,0.010873,0:00:26.190338,"{""logic"": 1}",{},{}
Prob046_dff8p,True,True,True,both_pass,5900,2931,0.004844,0:00:18.437817,5943,3224,0.005219,0:00:19.961214,{},{},{}
Prob047_dff8ar,True,True,True,both_pass,6102,3037,0.005017,0:00:21.053056,37407,5545,0.014413,0:00:37.025535,"{""syntax"": 4}",{},"{""syntax"": 3}"
Prob048_m2014_q4c,True,True,True,both_pass,5132,2485,0.004133,0:00:17.059405,4980,2315,0.003890,0:00:15.227947,{},{},{}
Prob049_m2014_q4b,True,True,True,both_pass,35193,4932,0.013204,0:00:32.432963,5087,2602,0.004270,0:00:19.002023,{},{},{}
Prob050_kmap1,True,True,True,both_pass,5138,2145,0.003709,0:00:14.944694,19579,3652,0.008481,0:00:21.070925,"{""logic"": 1}",{},{}
